"IP" "Service Name"
172.18.0.1 wrk
172.18.0.2 socialnetwork-user-mention-service-1
172.18.0.3 socialnetwork-user-service-1
172.18.0.4 socialnetwork-user-timeline-redis-1
172.18.0.5 socialnetwork-url-shorten-service-1
172.18.0.6 socialnetwork-compose-post-service-1
172.18.0.10 socialnetwork-text-service-1
172.18.0.17 socialnetwork-user-timeline-service-1
172.18.0.18 socialnetwork-post-storage-service-1
172.18.0.19 socialnetwork-url-shorten-memcached-1
172.18.0.20 socialnetwork-url-shorten-mongodb-1
172.18.0.21 home-timeline-service-1
172.18.0.23 social-graph-service-1
172.18.0.24 media-service-1
172.18.0.25 unique-id-service-1
172.18.0.26 post-storage-mongodb-1
172.18.0.28 nginx-thrift-1
172.18.0.27 home-timeline-service 
172.18.0.29 open-resty
172.18.0.30 elastic-search
